name,date,Geo_Location,country,Host,Tissue_Specimen_Source,access_country
OP609811,2022/08/04,Italy,Italy,Equus caballus,,"OP609811	|	Italy"
OP609812,2022/08/07,Italy,Italy,Corvus cornix,,"OP609812	|	Italy"
OP609813,2022/08/09,Italy,Italy,Culex pipiens,,"OP609813	|	Italy"
OP609814,2022/08/11,Italy,Italy,Culex pipiens,,"OP609814	|	Italy"
OP609815,2022/08/17,Italy,Italy,Corvus cornix,,"OP609815	|	Italy"
OP009518,2021,Italy,Italy,Columbidae,,"OP009518	|	Italy"
OP009519,2021,Italy,Italy,Columbidae,,"OP009519	|	Italy"
OP009520,2021,Italy,Italy,Streptopelia decaocto,,"OP009520	|	Italy"
OP009521,2021/08/23,Italy,Italy,Culex pipiens,,"OP009521	|	Italy"
OP009522,2021/08/16,Italy,Italy,Culex pipiens,,"OP009522	|	Italy"
OP009523,2021/08/16,Italy,Italy,Culex pipiens,,"OP009523	|	Italy"
OP009524,2021/08/16,Italy,Italy,Culex pipiens,,"OP009524	|	Italy"
OP009525,2022/06/21,Italy,Italy,Culex pipiens,,"OP009525	|	Italy"
MW835351,2008,Italy,Italy,Corvidae,,"MW835351	|	Italy"
MW835352,2008,Italy,Italy,Equus asinus,,"MW835352	|	Italy"
MW835353,2008,Italy,Italy,Equus caballus,,"MW835353	|	Italy"
